Chrom	Gene Name	Strand	Positions
chr2	NAGK	+	[71078633]
chr2	MIR4771-2	+	[87196777, 87257870, 87320106, 87423900, 87457039, 87477495, 87486626, 87497507, 87521437, 87551097, 87583767, 87655298, 87663919, 87665467, 87682459, 87755960, 87756553, 87757198, 87757626, 87781537, 87781645, 87786160, 87820957, 87885033, 88027205, 88027361, 88027979, 88028748, 88051201, 88186565, 88316008, 88322267, 88326902, 88327472, 88350509, 88446787, 88529584, 88556740, 88575609, 88631818, 88744394, 88750248, 88750700, 88750928, 88856315, 88856569, 88984628, 89006145, 89049761, 89050217, 89542928, 91636688, 91640326, 91746429, 91747217, 91805298, 91822271, 91824796, 91828347, 91830854, 91859573, 91934422, 91935243, 92047610, 94190592, 94875820, 94876822, 95053991, 95086440, 95087207, 95104597, 95108400, 95110036, 95115070, 95117892, 95145041, 95147409, 95147727, 95147937, 95149726, 95182968, 95290312, 95386076, 95412962, 95413083, 95439524, 95532508, 95537041, 95637201, 95751231, 95752224, 95753019, 95770342, 95774113, 95775763, 95780825, 95780947, 95783659, 95807151, 95810813, 95813151, 95813475, 95814003, 95817615, 95820021, 95820729, 95821138, 95824989, 95825403, 95827245, 95849980, 95857492, 95859910, 95936851, 95980670, 95987719, 96021656, 96021774, 96021946, 96051735, 96078700, 96112875, 96184948, 96185227, 96188333, 96191764, 96205083, 96242529, 96248555, 96248769, 96250574, 96250676, 96250911, 96251635, 96252413, 96253010, 96253631, 96270421, 96271481, 96271644, 96272757, 96273169, 96273579, 96274034, 96274336, 96274734, 96275023, 96284845, 96298670, 96328340, 96330173, 96330446, 96354366, 96359063, 96373658, 96373833, 96472845, 96483341, 96485765, 96486489, 96486887, 96490739, 96491149, 96493020, 96497643, 96521087, 96523240, 96525632, 96552558, 96593170, 96602644, 96613066, 96646415, 96687407, 96704884, 96705929, 96706037, 96706299, 96706852, 96808920, 96811770, 96811873, 96812239, 96826303, 96827351, 96833488, 96833781, 96833910, 96835295, 96842444, 96848040, 96850686, 96850967, 96854075, 96856140, 96857472, 96859739, 96860068, 96861105, 96861269, 96870820, 96873810, 96875882, 96908257, 96916367, 96916727, 96917491, 96929187, 96936164, 96937092, 96937217, 96937439, 96938479, 96938892, 96939037, 96939324, 96939774, 96940155, 96940559, 96940745, 96946663, 96950573, 96964394, 96994522, 96994803, 96995911, 96996163, 97003860, 97020109, 97024845, 97025881, 97035540, 97036773, 97039357, 97040881, 97042432, 97083586, 97083692, 97118944, 97166379, 97200347, 97218126, 97218297, 97241423, 97242218, 97243846, 97258982, 97274053, 97274833, 97276707, 97278063, 97278790, 97281186, 97286139, 97291710, 97371739, 97371984, 97372663, 97374747, 97390328, 97416165, 97423308, 97426766, 97429144, 97429911, 97430830, 97431242, 97433094, 97433896, 97435226, 97477478, 97481045, 97492020, 97499165, 97499492, 97501034, 97501306, 97506964, 97508197, 97513362, 97513846, 97515782, 97525573, 97539056, 97573006, 97646129, 97647126, 97647436, 97648041, 97648170, 97655963, 97656091, 97703055, 97739858, 97749441, 97756437, 97756608, 97827837, 97828011, 97828201, 97832126, 97907119, 97909583, 97911665, 97915932, 97939782, 97940562, 97942444, 97942877, 97943808, 97944523, 97946925, 97957453, 98081881, 98092353, 98094751, 98095476, 98096403, 98096816, 98098692, 98099475, 98123503, 98127707, 98127938, 98129826, 98132239, 98262568, 98263591, 98263903, 98264502, 98272579, 98312943, 98319461, 98372895, 98373053, 98398600, 98444335, 98444479, 98444649, 98521338, 98584454, 98587660, 98589769, 98590036, 98590785, 98599402, 98600542, 98600742, 98618169, 98618417, 98619106, 98621099, 98624355, 98624490, 98624689, 98705871, 98725939, 98793846, 98997261, 98997872, 99064768, 99072611, 99102872, 99102985, 99138333, 99161537, 99163136, 99169263, 99169550, 99180847, 99191042, 99195297, 99196838, 99197217, 99197434, 99197539, 99199469, 99206237, 99206343, 99206486, 99207715, 99215938, 99217045, 99217218, 99232958, 99234631, 99234880, 99235687, 99284238, 99314617, 99317703, 99319024, 99319220, 99319404, 99320089, 99321542, 99322334, 99337558, 99360236, 99361426, 99361755, 99363645, 99363821, 99364271, 99364397, 99369434, 99371717, 99376350, 99382908, 99394784, 99399439, 99399705, 99400344, 99400475, 99400945, 99401122, 99401325, 99403105, 99403721, 99404453, 99405842, 99437808, 99547253, 99547361, 99547602, 99649327, 99719302, 99719419, 99721840, 99764790, 99771156, 99777992, 99779429, 99785768, 99786031, 99790462, 99797314, 99797416, 99798513, 99812117, 99812478, 99813289, 99813441, 99813688, 99814000, 99815925, 99816201, 99821060, 99841613, 99924974, 99931071, 99932670, 99934182, 99935569, 99935736, 99935899, 99936551, 99938261, 99954020, 99976700, 99977611, 99977887, 99980108, 99980287, 99980734, 99980865, 99984958, 99985885, 99988169, 99999367, 100009476, 100011244, 100015890, 100016161, 100016454, 100016955, 100017127, 100017584, 100019566, 100019668, 100020200, 100022929, 100053537, 100054142, 100054289, 100055174, 100064287, 100107503, 100137574, 100163791, 100273291, 100283547, 100391860, 100563048, 100572039, 100576364, 100576652, 100589985, 100787743, 100847219, 100890040, 100972648, 100996054, 100996716, 101002747, 101004282, 101006014, 101006249, 101006350, 101006614, 101006845, 101007266, 101007376, 101008397, 101019727, 101024031, 101155411, 101179493, 101193016, 101193121, 101206448, 101269541, 101270235, 101271256, 101274156, 101275194, 101276532, 101276675, 101276886, 101278244, 101397422, 101414356, 101466372, 101470392, 101470533, 101514782, 101515490, 101517043, 101519789, 101526173, 101571072, 101613105, 101619196, 101620745, 101622462, 101622721, 101623079, 101623338, 101623839, 101625208, 101625938, 101627296, 101635866, 101636014, 101636122, 101636456, 101698517, 101717887, 101725249, 101790738, 101811304, 101842662, 101844139, 101844298, 101845017, 101855993, 101861903, 101862338, 101866996, 101870934, 101871121, 101885908, 101886701, 101887757, 101888410, 101890024, 101890616, 101891377, 101891495, 101891939, 101892607, 101892725, 101893066, 101893344, 101894487, 101894621, 101898061, 101904792, 101909500, 102024825, 102172621, 102175819, 102179615, 102179765, 102179873, 102314498, 102341780, 102343752, 102344722, 102346099, 102436495, 102456331, 102459095, 102460586, 102460759, 102461301, 102472449, 102478623, 102487588, 102499040, 102507879, 102508404, 102509044, 102509186, 102510113, 102511084, 102711317, 102714689, 102715840, 102817555, 102817665, 103331168, 103332379, 103433173, 103434007, 104512756, 104857760, 104858273, 104936241, 105099881, 105249458, 105264414, 105264521, 105264737, 105265717, 105336532, 105337611, 105339694, 105345526, 105348663, 105348813, 105357330, 105360826, 105361053, 105378839, 105385897, 105386923, 105397116, 105424078, 105456425, 105474198, 105474656, 105474950, 105708937, 105713759, 105716337, 105854503, 105865916, 105880977, 105882101, 105882231, 105894110, 105894273, 105950563, 105953007, 105954075, 105956061, 105965121, 105965534, 105977338, 105977513, 106093303, 106093528, 106163709, 106164783, 106166056, 106194174, 106386505, 106405108, 106471683, 106510558, 106697192, 106697313, 106709835, 106709967, 106781239, 106782517, 106783217, 106787050, 106801600, 106810629, 106822922, 107020914, 107254690, 107313648, 107313774, 107823063, 108013982, 108308712, 108309914, 108449675, 108470633, 108473258, 108475393, 108490134, 108507933, 108509397, 108662799, 108684177, 108684312, 108685287, 108686555, 108686694, 108686981, 108687155, 108753025, 108781349, 108783257, 108783861, 108784104, 108784659, 108784790, 108785469, 108785688, 108785810, 108820641, 108821864, 108876489, 108880072, 108885476, 108894471, 109005360, 109068912, 109085444, 109086138, 109086380, 109087026, 109088401, 109088552, 109089284, 109089708, 109099520, 109101701, 109124761, 109125617, 109125777, 109127327, 109218099, 109235223, 109301737, 109303008, 109303152, 109303611, 109347325, 109369454, 109397806, 109399702, 109400316, 109401078, 109402150, 109406186, 109436280, 109436632, 109437097, 109444191, 109486049, 109492738, 109492953, 109493897, 109495239, 109496466, 109496589, 109497837, 109498544, 109500818, 109501774, 109504631, 109542844, 109542982, 109543249, 109544240, 109545815, 109553127, 109617933, 109618902, 109830855, 109833018, 109856687, 109857685, 109894405, 109906455, 109968553, 110083870, 110084238, 110123336, 110123572, 110123708, 110178048, 110211595, 110212227, 110258815, 110266514, 110300460, 110300653, 110375148, 110376504, 110465051, 110513821, 110538488, 110608640, 110614190, 110615230, 110637832, 110637954, 110638129, 110639765, 110664725, 110667569, 110670220, 110675693, 110746718, 110747316, 110753758, 110888016, 110936437, 110969180, 110969814, 110970047, 111132782, 111139300, 111139873, 111146283, 111166708, 111168349, 111196350, 111196478, 111203268, 111203606, 111207776, 111210995, 111234795, 111235314, 111244443, 111244666, 111266853, 111271435, 111285470, 111287016, 111290480, 111297049, 111321432, 111322860, 111367105, 111395487, 111395679, 111399711, 111422323, 111425156, 111427800, 111429309, 111433297, 111453298, 111460457, 111493477, 111767637, 111769061]
chr2	RNU4ATAC	+	[121530943]
chr2	FAM138B	+	[113578844]
chr2	WDSUB1	-	[159235793]
chr2	MYO7B	+	[127625997, 127637726]
chr2	PGAP1	-	[196833004, 196835189, 196835582]
chr2	OTX1	+	[63057830]
chr2	STK16	+	[219248904, 219249711, 219250279]
chr2	GPAT2	-	[96021946]
chr2	PPP4R3B	-	[55547292, 55547429, 55548330, 55548511, 55549410, 55555561, 55559714, 55561377, 55561733, 55561853, 55562024, 55562185, 55563817, 55564383, 55566687, 55571575, 55573976]
chr2	LOC101929570	+	[162797971]
chr2	LINC01812	-	[67796054]
chr2	LINC01815	-	[81461360]
chr2	LINC01814	-	[8559833, 8570331]
chr2	DYSF	+	[71686762]
chr2	LINC01816	-	[70124036]
chr2	RNASEH1	-	[3531813, 3531984, 3545571]
chr2	IWS1	-	[127480810, 127489791, 127505800]
chr2	GYPC	+	[126658766, 126696666]
chr2	LOC100129434	-	[56181651]
chr2	GRB14	-	[164492816, 164553391, 164573575, 164573912]
chr2	LOC101926913	-	[170717987, 170750765, 170751779, 170752021, 170752970]
chr2	GPR17	+	[127652638]
chr2	ACVR1C	-	[157526767, 157532391]
chr2	RAB6D	-	[131361111]
chr2	LOC150776	+	[131521572]
chr2	RPS27A	+	[55235581]
chr2	RAB6C	+	[129982737]
chr2	PUM2	-	[20248691]
chr2	SFXN5	-	[72942036, 73020086]
chr2	LINC01921	+	[216871638]
chr2	LINC01920	-	[150568080]
chr2	CRIPT	+	[46624700, 46624869, 46625741]
chr2	TTN-AS1	+	[178525989, 178538902, 178541798, 178550682, 178577618, 178580907, 178605404, 178617122, 178619625, 178620111, 178620216]
chr2	SERPINE2	-	[223975112, 223975276]
chr2	ETAA1	+	[67410199, 67410393]
chr2	SOX11	+	[5701384]
chr2	CCT7	+	[73252996]
chr2	CCT4	-	[61868127, 61868429]
chr2	LINC01941	-	[126110099]
chr2	HEATR5B	-	[36981009, 36981114, 37059543, 37064372, 37067748, 37071031, 37073428, 37074858]
chr2	INSIG2	+	[118110025]
chr2	ARL5A	-	[151800979]
chr2	ZC3H8	-	[112215862, 112216071, 112231019, 112234139, 112237498, 112250216, 112251039]
chr2	CDC42EP3	-	[37641945, 37644835, 37645154]
chr2	ZC3H6	+	[112299887, 112334258, 112339972]
chr2	WDR35	-	[19913235, 19935033]
chr2	PDE6D	-	[231732425, 231732558, 231743604, 231743886]
chr2	WDPCP	-	[63121821]
chr2	HES6	-	[238238267]
chr2	GIGYF2	+	[232736540, 232736644, 232760146, 232766464, 232768140, 232844542, 232857818, 232858611]
chr2	KLHL29	+	[23616499, 23697931, 23708605]
chr2	SLC4A5	-	[74216242, 74217553]
chr2	SLC4A3	+	[219641968]
chr2	TRIM54	+	[27307400]
chr2	DCTN1	-	[74361154, 74362690, 74365593, 74365893, 74369460, 74372323, 74373230, 74376111, 74377554, 74379826, 74380044, 74380735, 74382916, 74383072, 74383329, 74384026, 74388352]
chr2	KCMF1	+	[84990592, 85046584, 85048833, 85053315, 85053506, 85053678]
chr2	ANKRD44-IT1	-	[197250858]
chr2	C2orf16	+	[27582719]
chr2	RAD51AP2	-	[17510584]
chr2	TFPI	-	[187464230, 187464424, 187466664, 187466796, 187467769, 187478577, 187494994, 187497012, 187545102, 187545474]
chr2	PGM5P4-AS1	-	[113540053]
chr2	SPATS2L	+	[200306589, 200325917, 200326074, 200329450, 200389260, 200412392, 200416379, 200461336, 200478455, 200482262]
chr2	LOC375196	-	[38959287]
chr2	PLCL1	+	[198148403, 198149883]
chr2	CCNYL1	+	[207714824, 207753875, 207754465, 207755386]
chr2	RNF25	-	[218663864]
chr2	NT5C1B-RDH14	-	[18554723, 18562873, 18563232]
chr2	TAF1B	+	[9913708, 9934407]
chr2	ALK	-	[29192778, 29220870]
chr2	GPR155	-	[174432238]
chr2	ATP6V1E2	-	[46511847]
chr2	KRTCAP3	+	[27444296]
chr2	NBEAL1	+	[203016675, 203024123, 203045069, 203049961, 203050091, 203070953, 203071059, 203071261, 203071446, 203074044, 203092030, 203116364, 203123003, 203134412, 203136237, 203150844, 203153336, 203153773, 203157623, 203159016, 203160411, 203162207, 203162610, 203165084, 203167669, 203168029, 203168252, 203190974, 203191233]
chr2	COX5B	+	[97646129, 97647126, 97647436, 97648041, 97648170]
chr2	PSMD1	+	[231108230, 231139069, 231172750]
chr2	HOXD13	+	[176095937]
chr2	PGM5P4	+	[113540053]
chr2	MOB1A	-	[74152598]
chr2	CPSF3	+	[9473100]
chr2	CNOT9	+	[218593841, 218594885, 218595136, 218596431]
chr2	TTLL4	+	[218754686]
chr2	LTBP1	+	[33042603, 33046031, 33347410, 33399198, 33399362, 33399495]
chr2	ITGB6	-	[160099666]
chr2	DDX11L2	-	[113599036]
chr2	HOXD1	+	[176190905]
chr2	COPS7B	+	[231808714, 231809247]
chr2	SLC35F5	-	[113712792, 113713779, 113714353, 113714456, 113714884, 113741884]
chr2	NMUR1	-	[231523194]
chr2	SLC35F6	+	[26781151]
chr2	NCK2	+	[105854503, 105865916, 105880977, 105882101, 105882231, 105894110, 105894273]
chr2	MBD5	+	[148025148, 148025299, 148044893, 148062576, 148471115, 148513453]
chr2	FAM228B	+	[24077558, 24080746, 24086967, 24101184, 24150959, 24163405, 24169637]
chr2	FAM228A	+	[24191697]
chr2	LOC101928185	+	[132931493]
chr2	FAM126B	-	[200973718, 200973869, 200981016]
chr2	MLPH	+	[237553990, 237555317]
chr2	IL1RL1	+	[102314498, 102341780, 102343752, 102344722, 102346099]
chr2	PKP4	+	[158467499, 158593032, 158662983, 158680969, 158681426]
chr2	ECEL1P2	-	[232385750]
chr2	SLC25A12	-	[171784847, 171822880, 171823242, 171823356, 171823553, 171848308, 171848445, 171848725, 171848938, 171860542, 171869918]
chr2	TUBA3E	-	[130191745]
chr2	NFE2L2	-	[177230305]
chr2	CFAP65	-	[219002846, 219015721, 219018256, 219026548, 219033692]
chr2	LINC00471	-	[231508426]
chr2	NDUFA10	-	[239957372, 239959578, 239960534, 239960736, 240018407]
chr2	LBH	+	[30260021]
chr2	IMP4	+	[130346621]
chr2	ASNSD1	+	[189666395, 189670830]
chr2	TEX261	-	[70985938, 70986060, 70988122]
chr2	RBM43	-	[151260984]
chr2	STK17B	-	[196133715, 196135362, 196136907, 196137166]
chr2	IAH1	+	[9488456, 9488583]
chr2	ADCY3	-	[24819169, 24820923, 24822373, 24826607, 24826716]
chr2	VIT	+	[36759274, 36759674, 36788053, 36814786]
chr2	YIPF4	+	[32305888, 32306585]
chr2	KIF5C	+	[148877875, 148878060, 149023509, 149026758]
chr2	LINC01806	+	[161247716, 161249048]
chr2	ARL4C	-	[234493041]
chr2	CCDC121	-	[27625643]
chr2	SLC11A1	+	[218388384, 218395314, 218396893]
chr2	LINC00608	+	[218977733]
chr2	STK25	-	[241494712, 241494836, 241495013]
chr2	GCC2	+	[108449675, 108470633, 108473258, 108475393, 108490134, 108507933, 108509397]
chr2	LOC105373876	-	[216866332]
chr2	CNPPD1	-	[219171897]
chr2	FIGN	-	[163607609]
chr2	CNOT11	+	[101269541, 101270235]
chr2	LINC01934	+	[181192052]
chr2	GALNT5	+	[157311398, 157312091, 157314073]
chr2	HAT1	+	[171983574, 171983681]
chr2	LY75	-	[159803355, 159835958, 159860797, 159874325, 159902365]
chr2	DTYMK	-	[241675742]
chr2	CLK1	-	[200853076]
chr2	HDAC4	-	[239048168, 239048295, 239048687, 239052662, 239061478, 239077387, 239079124, 239079591, 239082247, 239086013, 239093293, 239094020, 239108491, 239142745, 239142922, 239147004, 239152768, 239237388, 239261542, 239303713, 239309319, 239355254, 239355492, 239360815]
chr2	SH3BP4	+	[234953189, 235055628]
chr2	MXD1	+	[69939557, 69940640]
chr2	HCG2040054	+	[47529163]
chr2	SPDYA	+	[28840800, 28849821]
chr2	TMEM150A	-	[85598549]
chr2	FSIP2-AS1	-	[185783691, 185788020]
chr2	TRAPPC12	+	[3413439, 3426087, 3479420, 3479564]
chr2	RAB10	+	[26137453]
chr2	RAB17	-	[237574322]
chr2	ACVR2A	+	[147930399, 147930823]
chr2	PLA2R1	-	[159945815]
chr2	GKN2	-	[68945232]
chr2	GMPPA	+	[219501577, 219502939, 219506800, 219506988]
chr2	COL5A2	-	[189032205, 189032514]
chr2	KIF1A	-	[240713764, 240714756, 240716981]
chr2	LOC100129175	+	[219002846, 219015721]
chr2	C2orf66	-	[196805002]
chr2	NEU4	+	[241817405]
chr2	C2orf69	+	[199928272]
chr2	C2orf68	-	[85605359, 85606216, 85606654, 85608351, 85610095]
chr2	ERCC3	-	[127257290]
chr2	NIFK	-	[121726945, 121727676, 121728077, 121728480]
chr2	SCN9A	-	[166198048, 166198383, 166198599, 166201405, 166276417, 166286561, 166301783]
chr2	SERTAD2	-	[64631621]
chr2	LOXL3	-	[74532438, 74533123, 74533318]
chr2	UGT1A10	+	[233692346, 233742965, 233754305, 233754423, 233770018, 233773290]
chr2	ACADL	-	[210188015, 210188811]
chr2	ABCB6	-	[219209766, 219209995, 219211415]
chr2	CEBPZ	-	[37201844, 37202574, 37202790, 37204645, 37208136, 37208258, 37211882, 37213878, 37215890, 37216192, 37228955]
chr2	LMAN2L	-	[96705929, 96706037, 96706299, 96706852]
chr2	MFSD9	-	[102714689, 102715840]
chr2	SLC9A4	+	[102478623, 102487588, 102499040, 102507879, 102508404, 102509044, 102509186, 102510113, 102511084]
chr2	PRSS40B	-	[130539095, 130581635, 130583671, 130584160]
chr2	PRSS40A	-	[130539095, 130581635, 130583671, 130584160]
chr2	DIRC1	-	[188734155]
chr2	PSME4	-	[53864067, 53864869, 53865068, 53897190, 53897332, 53897507, 53960675, 53969781]
chr2	TMEM247	+	[46484424]
chr2	MFSD6	+	[190454092, 190502069, 190502314]
chr2	EEF1B2	+	[206162927]
chr2	ACMSD	+	[134902019]
chr2	PGM5P3-AS1	-	[113540053]
chr2	MFF	+	[227357176, 227357832]
chr2	TLX2	+	[74516762, 74517147]
chr2	RAPGEF4	+	[173036794]
chr2	MYL1	-	[210290150]
chr2	SLC30A6	+	[32221858, 32224085, 32224378]
chr2	SLC30A3	-	[27254572]
chr2	CERS6	+	[168770260, 168770758, 168771663, 168771953, 168773304, 168775128]
chr2	SNRNP200	-	[96274336, 96274734, 96275023, 96284845, 96298670]
chr2	EML4	+	[42283810, 42285551, 42323862, 42330743, 42331354, 42331461, 42332253, 42332397, 42332531]
chr2	INHBB	+	[120351802]
chr2	NGEF	-	[232878686, 232894602, 232970052]
chr2	SCHLAP1	+	[180808821, 180809683, 180810103, 180810382, 180815245, 180815395, 180830694, 180846648, 180853722, 180858137, 180872768, 180872964, 180873066]
chr2	ATIC	+	[215349755]
chr2	EDAR	-	[108894471]
chr2	NCAPH	+	[96354366, 96359063, 96373658, 96373833]
chr2	CHAC2	+	[53775152]
chr2	LOC440934	+	[222321721]
chr2	GORASP2	+	[170938739, 170940257, 170940493, 170966429, 170966741, 170966862, 170967038]
chr2	CIAO1	+	[96270421, 96271481, 96271644, 96272757, 96273169, 96273579, 96274034]
chr2	TMEM185B	-	[120221285, 120221504]
chr2	EIF5B	+	[99337558, 99360236, 99361426, 99361755, 99363645, 99363821, 99364271, 99364397, 99369434, 99371717, 99376350, 99382908, 99394784, 99399439, 99399705]
chr2	LINC02583	+	[46441832]
chr2	LINC01126	+	[43228854]
chr2	LINC01121	-	[45174340]
chr2	QPCT	+	[37373316]
chr2	MALL	-	[110083870, 110084238]
chr2	TRPM8	+	[233942988, 234017947, 234018570, 234019519]
chr2	LOC101929551	-	[7886770]
chr2	ZFAND2B	+	[219209643]
chr2	THADA	-	[43230836, 43343001, 43448653, 43449630, 43449962, 43451204, 43451354, 43458053, 43552068, 43556093, 43562218, 43587489]
chr2	SULT1C2	+	[108308712, 108309914]
chr2	LINC01833	-	[44921079, 44922250, 44927914, 44929977, 44931121]
chr2	LCT	-	[135787840]
chr2	CCDC138	+	[108820641, 108821864, 108876489, 108880072, 108885476]
chr2	OTOF	-	[26457203, 26472332]
chr2	POLE4	+	[74969727]
chr2	STRN	-	[36843640, 36843794, 36846172, 36848326]
chr2	LINC01237	+	[241893991, 242006012]
chr2	GLB1L	-	[219236606]
chr2	PRR30	-	[27136848]
chr2	STK39	-	[167954020]
chr2	OTOS	-	[240139029]
chr2	LCLAT1	+	[30482532, 30482822, 30584907, 30643978, 30644224]
chr2	DOCK10	-	[224765090, 224824515, 224831608, 224831814, 224832273, 224833402, 224836699, 224839928, 224840226, 224844776, 224846597, 224908565, 224964558]
chr2	LOC151174	-	[238225113]
chr2	SNX17	+	[27377122, 27377231]
chr2	STAT4	-	[191029578, 191032314, 191131490]
chr2	STAT1	-	[190969149, 190975540]
chr2	LINC00298	-	[7922425]
chr2	LINC00299	-	[8007772]
chr2	FOSL2	+	[28397109, 28412970]
chr2	SLC8A1	-	[40112146, 40112252, 40112415, 40255208, 40282278, 40339446, 40429980, 40430085]
chr2	CTDSP1	+	[218398743, 218405940]
chr2	MIR4436B1	-	[110123336, 110123572, 110123708, 110178048, 110211595, 110212227, 110258815, 110266514]
chr2	MIR4436B2	-	[110123336, 110123572, 110123708, 110178048, 110211595, 110212227, 110258815, 110266514]
chr2	MAIP1	+	[199964116]
chr2	CD8A	-	[86784610, 86785213]
chr2	TYW5	-	[199931331, 199931899, 199932008, 199932785]
chr2	CD8B	-	[86838167, 86841582]
chr2	TMEM87B	+	[112056121, 112080448, 112116433, 112116927, 112117318, 112119237]
chr2	LRP2	-	[169127109, 169128350, 169240784]
chr2	GALNT14	-	[30910467, 30991425]
chr2	NEUROD1	-	[181676467]
chr2	GALNT13	+	[154450801, 154453838]
chr2	WDR12	-	[202880600, 202880798, 202894611, 202902104, 202902240, 202902963]
chr2	CFC1	-	[130592165, 130592780]
chr2	AOX1	+	[200671062]
chr2	MAP4K3	-	[39249266, 39323328, 39356165]
chr2	ANTXR1	+	[69103443, 69135169, 69146336, 69172558, 69248244, 69249169, 69249326]
chr2	MAP4K4	+	[101698517, 101717887, 101725249, 101790738, 101811304, 101842662, 101844139, 101844298, 101845017, 101855993, 101861903, 101862338, 101866996, 101870934, 101871121, 101885908, 101886701, 101887757, 101888410, 101890024, 101890616, 101891377, 101891495, 101891939, 101892607, 101892725, 101893066, 101893344, 101894487, 101894621]
chr2	CCDC74B	-	[130139287, 130139416]
chr2	CCDC74A	+	[131533665]
chr2	MAP2	+	[209710578, 209730517]
chr2	UGT1A4	+	[233742965, 233754305, 233754423, 233770018, 233773290]
chr2	GPD2	+	[156586151, 156586398]
chr2	C2orf70	+	[26579523]
chr2	C2orf72	+	[231047908, 231048937, 231049706]
chr2	C2orf73	+	[54360723]
chr2	C2orf74	+	[61151433, 61163165, 61164734]
chr2	C2orf76	-	[119302225]
chr2	TFCP2L1	-	[121216587, 121220955]
chr2	SUCLG1	-	[84423523]
chr2	INO80B	+	[74457943]
chr2	OSGEPL1	-	[189746947, 189761192]
chr2	TIA1	-	[70209444, 70209757, 70210204, 70210656, 70210853, 70211676, 70211790, 70211910, 70212170, 70216672, 70224424]
chr2	LOC100130449	-	[240449418, 240450763]
chr2	FAM124B	-	[224378698]
chr2	LRPPRC	-	[43886224, 43887738, 43888267, 43888488, 43933441, 43942700, 43958986]
chr2	KCNE4	+	[223055636]
chr2	CASP10	+	[201200727, 201220080, 201221664]
chr2	RGPD4-AS1	-	[107823063]
chr2	UGP2	+	[63891561]
chr2	ITSN2	-	[24203005, 24210930, 24220319, 24223506, 24226474, 24227630, 24238933, 24252302, 24275714, 24286309, 24286465, 24290529, 24291191, 24298330, 24299995, 24312777, 24324051, 24331687, 24334717]
chr2	MMADHC	-	[149569634]
chr2	ANKMY1	-	[240479422, 240519755, 240521938]
chr2	KHK	+	[27100594, 27100750]
chr2	LBX2	-	[74497517, 74502364]
chr2	IL36RN	+	[113063457, 113064737]
chr2	HK2	+	[74832655, 74891145, 74891701, 74892511]
chr2	BOLL	-	[197726879, 197728248, 197774822]
chr2	RTKN	-	[74425861, 74425972, 74431194, 74441097, 74441704, 74441868]
chr2	KCTD18	-	[200488952]
chr2	CCDC148-AS1	+	[158171544, 158171966, 158236168]
chr2	CPS1	+	[210619705, 210619875, 210678156, 210679106]
chr2	LOC101928386	+	[143938068, 143946014]
chr2	GPBAR1	+	[218263858]
chr2	DQX1	-	[74518131]
chr2	TGFA	-	[70447280, 70447946, 70450173]
chr2	CRYGB	-	[208142573]
chr2	TMEM182	+	[102817555, 102817665]
chr2	ATG9A	-	[219219381]
chr2	GPR1-AS	+	[206265325]
chr2	PKDCC	+	[42058513]
chr2	DHX57	-	[38815875]
chr2	AGBL5-AS1	-	[27049683]
chr2	AGPS	+	[177538284, 177539436, 177540008, 177540629, 177542055, 177543835]
chr2	EHD3	+	[31268393]
chr2	CFLAR-AS1	-	[201140289, 201141597, 201149470]
chr2	RBKS	-	[27781364, 27781533, 27809701, 27845882, 27848650, 27865496, 27872329, 27873638, 27874282, 27875238, 27875970, 27876322, 27876492, 27876902, 27879581, 27883195, 27885869]
chr2	IKZF2	-	[213005363, 213006013, 213007171, 213147372]
chr2	FAHD2B	-	[97083586, 97083692]
chr2	FAHD2A	+	[95412962, 95413083]
chr2	OSGEPL1-AS1	+	[189763859]
chr2	REEP1	-	[86214597]
chr2	LINC02245	-	[64901840]
chr2	LINC01914	-	[41931599]
chr2	ARL6IP6	+	[152760762, 152760917, 152761173]
chr2	HDLBP	-	[241227264, 241229212]
chr2	LINC01913	+	[41894045]
chr2	FEV	-	[218981087]
chr2	CHRNA1	-	[174752754]
chr2	ID2	+	[8684312, 8684452]
chr2	LINC01828	+	[67265337, 67267816, 67268839]
chr2	BBS5	+	[169504634, 169506654]
chr2	LOC105374454	-	[33564587, 33564730]
chr2	UGT1A8	+	[233692346, 233742965, 233754305, 233754423, 233770018, 233773290]
chr2	UGT1A9	+	[233692346, 233742965, 233754305, 233754423, 233770018, 233773290]
chr2	ANKAR	+	[189746646]
chr2	UGT1A5	+	[233742965, 233754305, 233754423, 233770018, 233773290]
chr2	UGT1A6	+	[233692346, 233742965, 233754305, 233754423, 233770018, 233773290]
chr2	UGT1A7	+	[233692346, 233742965, 233754305, 233754423, 233770018, 233773290]
chr2	UGT1A1	+	[233770018, 233773290]
chr2	UGT1A3	+	[233742965, 233754305, 233754423, 233770018, 233773290]
chr2	FIGLA	-	[70777311]
chr2	GLI2	+	[120992498, 120992652]
chr2	LRP1B	-	[140231427, 142131178]
chr2	DOK1	+	[74557535]
chr2	RPIA	+	[88744394, 88750248, 88750700, 88750928]
chr2	AQP12B	-	[240676418]
chr2	AQP12A	+	[240698482]
chr2	FSHR	-	[48962513]
chr2	MCEE	-	[71109684]
chr2	MTA3	+	[42542963, 42550990, 42558600, 42559541, 42577713, 42578286, 42653467, 42665324, 42707839, 42709128, 42709371, 42709543, 42715783, 42727035, 42756884]
chr2	YPEL5	+	[30159550, 30160532]
chr2	CLASP1	-	[121337779, 121338046, 121338165, 121339510, 121340531, 121366260, 121371550, 121459476, 121500953, 121530943, 121599469]
